Name: CCTV5体育, URL: http://116.234.68.114:5002/rtp/239.45.1.69:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 30fps
Name: 广东卫视, URL: http://116.232.156.147:8888/rtp/239.45.3.230:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: 广东卫视, URL: http://101.83.74.79:8686/rtp/239.45.3.230:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: 广东卫视, URL: http://1.202.9.192:8888/rtp/225.1.8.49:8048$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 198fps
Name: 广东卫视, URL: http://1.203.76.226:7788/rtp/225.1.8.49:8048$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 184fps
Name: 广东卫视, URL: http://58.37.189.47:8088/rtp/239.45.3.230:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 183fps
Name: 广东卫视, URL: http://101.85.133.44:4000/rtp/239.45.3.230:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 183fps
Name: 广东卫视, URL: http://116.233.138.194:4022/rtp/239.45.3.230:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 181fps
Name: 广东卫视, URL: http://58.39.142.6:4022/rtp/239.45.3.230:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 177fps
Name: 广东卫视, URL: http://222.67.193.52:8888/rtp/239.45.3.230:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 177fps
Name: 广东卫视, URL: http://115.171.216.22:4000/rtp/225.1.8.49:8048$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 173fps
Name: 广东卫视, URL: http://58.37.82.140:56789/rtp/239.45.3.230:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 166fps
Name: 广东卫视, URL: http://tv.100inns.com:4022/rtp/239.45.3.230:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 123fps
Name: 广东卫视, URL: http://115.171.216.22:4000/rtp/225.1.8.151:8132$720x576, Date: None, Resolution: 720x576, Response Time: 250fps
Name: 广东卫视, URL: http://1.203.76.226:7788/rtp/225.1.8.151:8132$720x576, Date: None, Resolution: 720x576, Response Time: 250fps
Name: 广东卫视, URL: http://1.202.9.192:8888/rtp/225.1.8.151:8132$720x576, Date: None, Resolution: 720x576, Response Time: 250fps
Name: CCTV6电影, URL: http://116.232.156.147:8888/rtp/239.45.1.70:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: CCTV6电影, URL: http://101.83.74.79:8686/rtp/239.45.1.70:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: CCTV6电影, URL: http://58.39.142.6:4022/rtp/239.45.1.70:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 206fps
Name: CCTV6电影, URL: http://58.37.82.140:56789/rtp/239.45.1.70:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 204fps
Name: CCTV6电影, URL: http://115.171.216.22:4000/rtp/225.1.8.84:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 199fps
Name: CCTV6电影, URL: http://1.203.76.226:7788/rtp/225.1.8.84:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 198fps
Name: CCTV6电影, URL: http://58.37.189.47:8088/rtp/239.45.1.70:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 188fps
Name: CCTV6电影, URL: http://116.233.138.194:4022/rtp/239.45.1.70:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 186fps
Name: CCTV6电影, URL: http://222.67.193.52:8888/rtp/239.45.1.70:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 181fps
Name: CCTV6电影, URL: http://101.85.133.44:4000/rtp/239.45.1.70:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 177fps
Name: CCTV6电影, URL: http://1.202.9.192:8888/rtp/225.1.8.84:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 175fps
Name: CCTV6电影, URL: http://222.71.11.180:4022/rtp/239.45.1.70:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 62fps
Name: 深圳卫视, URL: http://116.232.156.147:8888/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: 深圳卫视, URL: http://101.83.74.79:8686/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: 深圳卫视, URL: http://115.171.216.22:4000/rtp/225.1.8.43:8020$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 201fps
Name: 深圳卫视, URL: http://1.202.9.192:8888/rtp/225.1.8.43:8020$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 199fps
Name: 深圳卫视, URL: http://58.37.82.140:56789/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 188fps
Name: 深圳卫视, URL: http://101.85.133.44:4000/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 188fps
Name: 深圳卫视, URL: http://58.39.142.6:4022/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 186fps
Name: 深圳卫视, URL: http://116.233.138.194:4022/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 186fps
Name: 深圳卫视, URL: http://58.37.189.47:8088/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 185fps
Name: 深圳卫视, URL: http://1.203.76.226:7788/rtp/225.1.8.43:8020$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 183fps
Name: 深圳卫视, URL: http://222.67.193.52:8888/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 182fps
Name: 深圳卫视, URL: http://222.71.11.180:4022/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 127fps
Name: 深圳卫视, URL: http://tv.100inns.com:4022/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 85fps
Name: 深圳卫视, URL: http://116.234.68.114:5002/rtp/239.45.3.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 10fps
Name: 深圳卫视, URL: http://115.171.216.22:4000/rtp/225.1.8.145:9244$720x576, Date: None, Resolution: 720x576, Response Time: 250fps
Name: 深圳卫视, URL: http://1.203.76.226:7788/rtp/225.1.8.145:9244$720x576, Date: None, Resolution: 720x576, Response Time: 250fps
Name: 深圳卫视, URL: http://1.202.9.192:8888/rtp/225.1.8.145:9244$720x576, Date: None, Resolution: 720x576, Response Time: 250fps
Name: CCTV7国防军事, URL: http://116.232.156.147:8888/rtp/239.45.3.56:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: CCTV7国防军事, URL: http://101.83.74.79:8686/rtp/239.45.3.56:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 248fps
Name: CCTV7国防军事, URL: http://1.203.76.226:7788/rtp/225.1.8.7:8104$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 215fps
