央视频道,#genre#
CCTV12社会与法,http://116.232.156.147:8888/rtp/239.45.3.10:5140$1920x1080
CCTV12社会与法,http://116.234.13.241:9898/rtp/239.45.3.10:5140$1920x1080
CCTV12社会与法,http://101.83.74.79:8686/rtp/239.45.3.10:5140$1920x1080
CCTV12社会与法,http://1.202.9.192:8888/rtp/225.1.8.12:8124$1920x1080
CCTV12社会与法,http://115.171.216.54:4000/rtp/225.1.8.12:8124$1920x1080
CCTV12社会与法,http://58.37.82.140:56789/rtp/239.45.3.10:5140$1920x1080
CCTV12社会与法,http://58.37.91.48:4000/rtp/239.45.3.10:5140$1920x1080
CCTV12社会与法,http://tv.100inns.com:4022/rtp/239.45.3.10:5140$1920x1080
CCTV12社会与法,http://222.71.11.180:4022/rtp/239.45.3.10:5140$1920x1080
CCTV12社会与法,http://115.171.216.54:4000/rtp/225.1.8.112:8232$720x576
CCTV13新闻,http://115.171.216.54:4000/rtp/225.1.1.10:8128$1920x1080
CCTV13新闻,http://1.202.9.192:8888/rtp/225.1.1.10:8128$1920x1080
CCTV13新闻,http://58.37.82.140:56789/rtp/239.45.1.198:5140$720x576
CCTV13新闻,http://116.232.156.147:8888/rtp/239.45.1.198:5140$720x576
CCTV13新闻,http://58.37.91.48:4000/rtp/239.45.1.198:5140$720x576
CCTV13新闻,http://116.234.13.241:9898/rtp/239.45.1.198:5140$720x576
CCTV13新闻,http://101.83.74.79:8686/rtp/239.45.1.198:5140$720x576
CCTV13新闻,http://115.171.216.54:4000/rtp/225.1.8.113:8264$720x576
CCTV13新闻,http://1.202.9.192:8888/rtp/225.1.8.113:8264$720x576
CCTV13新闻,http://tv.100inns.com:4022/rtp/239.45.1.198:5140$720x576
CCTV14少儿,http://116.232.156.147:8888/rtp/239.45.3.23:5140$1920x1080
CCTV14少儿,http://101.83.74.79:8686/rtp/239.45.3.23:5140$1920x1080
CCTV14少儿,http://1.202.9.192:8888/rtp/225.1.8.14:8132$1920x1080
CCTV14少儿,http://115.171.216.54:4000/rtp/225.1.8.14:8132$1920x1080
CCTV14少儿,http://58.37.82.140:56789/rtp/239.45.3.23:5140$1920x1080
CCTV14少儿,http://58.37.91.48:4000/rtp/239.45.3.23:5140$1920x1080
CCTV14少儿,http://116.234.13.241:9898/rtp/239.45.3.23:5140$1920x1080
CCTV14少儿,http://tv.100inns.com:4022/rtp/239.45.3.23:5140$1920x1080
CCTV14少儿,http://222.71.11.180:4022/rtp/239.45.3.23:5140$1920x1080
CCTV14少儿,http://115.171.216.54:4000/rtp/225.1.8.114:8236$720x576
CCTV15音乐,http://115.171.216.54:4000/rtp/225.1.8.74:8136$1920x1080
CCTV15音乐,http://1.202.9.192:8888/rtp/225.1.8.74:8136$1920x1080
CCTV15音乐,http://58.37.82.140:56789/rtp/239.45.1.200:5140$720x576
CCTV15音乐,http://116.232.156.147:8888/rtp/239.45.1.200:5140$720x576
CCTV15音乐,http://58.37.91.48:4000/rtp/239.45.1.200:5140$720x576
CCTV15音乐,http://116.234.13.241:9898/rtp/239.45.1.200:5140$720x576
CCTV15音乐,http://101.83.74.79:8686/rtp/239.45.1.200:5140$720x576
CCTV15音乐,http://115.171.216.54:4000/rtp/225.1.8.115:8052$720x576
CCTV15音乐,http://1.202.9.192:8888/rtp/225.1.8.115:8052$720x576
CCTV15音乐,http://tv.100inns.com:4022/rtp/239.45.1.200:5140$720x576
CCTV-17农村农业,http://58.37.82.140:56789/rtp/239.45.3.52:5140$1920x1080
CCTV-17农村农业,http://116.232.156.147:8888/rtp/239.45.3.52:5140$1920x1080
CCTV-17农村农业,http://58.37.91.48:4000/rtp/239.45.3.52:5140$1920x1080
CCTV-17农村农业,http://101.83.74.79:8686/rtp/239.45.3.52:5140$1920x1080
CCTV-17农村农业,http://116.234.13.241:9898/rtp/239.45.3.52:5140$1920x1080
CCTV-17农村农业,http://tv.100inns.com:4022/rtp/239.45.3.52:5140$1920x1080
CCTV-17农村农业,http://222.71.11.180:4022/rtp/239.45.3.52:5140$1920x1080

卫视频道,#genre#
浙江卫视,http://101.83.74.79:8686/rtp/239.45.3.178:5140$1920x1080
浙江卫视,http://116.232.156.147:8888/rtp/239.45.3.178:5140$1920x1080
浙江卫视,http://115.171.216.54:4000/rtp/225.1.8.46:8036$1920x1080
浙江卫视,http://1.202.9.192:8888/rtp/225.1.8.46:8036$1920x1080
浙江卫视,http://116.234.13.241:9898/rtp/239.45.3.178:5140$1920x1080
浙江卫视,http://58.37.82.140:56789/rtp/239.45.3.178:5140$1920x1080
浙江卫视,http://58.37.91.48:4000/rtp/239.45.3.178:5140$1920x1080
浙江卫视,http://tv.100inns.com:4022/rtp/239.45.3.178:5140$1920x1080
浙江卫视,http://222.71.11.180:4022/rtp/239.45.3.178:5140$1920x1080
浙江卫视,http://115.171.216.54:4000/rtp/225.1.8.133:8284$720x576
江苏卫视,http://116.232.156.147:8888/rtp/239.45.3.177:5140$1920x1080
江苏卫视,http://101.83.74.79:8686/rtp/239.45.3.177:5140$1920x1080
江苏卫视,http://58.37.82.140:56789/rtp/239.45.3.177:5140$1920x1080
江苏卫视,http://58.37.91.48:4000/rtp/239.45.3.177:5140$1920x1080
江苏卫视,http://1.202.9.192:8888/rtp/225.1.8.44:8028$1920x1080
江苏卫视,http://115.171.216.54:4000/rtp/225.1.8.44:8028$1920x1080
江苏卫视,http://116.234.13.241:9898/rtp/239.45.3.177:5140$1920x1080
江苏卫视,http://tv.100inns.com:4022/rtp/239.45.3.177:5140$1920x1080
江苏卫视,http://222.71.11.180:4022/rtp/239.45.3.177:5140$1920x1080
江苏卫视,http://115.171.216.54:4000/rtp/225.1.8.134:8276$720x576
湖南卫视,http://116.232.156.147:8888/rtp/239.45.3.228:5140$1920x1080
湖南卫视,http://116.232.156.147:8888/rtp/239.45.3.233:5140$1920x1080
湖南卫视,http://101.83.74.79:8686/rtp/239.45.3.228:5140$1920x1080
湖南卫视,http://101.83.74.79:8686/rtp/239.45.3.233:5140$1920x1080
湖南卫视,http://58.37.91.48:4000/rtp/239.45.3.228:5140$1920x1080
湖南卫视,http://116.234.13.241:9898/rtp/239.45.3.233:5140$1920x1080
湖南卫视,http://1.202.9.192:8888/rtp/225.1.8.41:8012$1920x1080
湖南卫视,http://58.37.91.48:4000/rtp/239.45.3.233:5140$1920x1080
湖南卫视,http://58.37.82.140:56789/rtp/239.45.3.233:5140$1920x1080
湖南卫视,http://116.234.13.241:9898/rtp/239.45.3.228:5140$1920x1080
北京卫视,http://116.232.156.147:8888/rtp/239.45.3.229:5140$1920x1080
北京卫视,http://101.83.74.79:8686/rtp/239.45.3.229:5140$1920x1080
北京卫视,http://1.202.9.192:8888/rtp/225.1.8.21:8002$1920x1080
北京卫视,http://58.37.82.140:56789/rtp/239.45.3.229:5140$1920x1080
北京卫视,http://58.37.91.48:4000/rtp/239.45.3.229:5140$1920x1080
北京卫视,http://116.234.13.241:9898/rtp/239.45.3.229:5140$1920x1080
北京卫视,http://115.171.216.54:4000/rtp/225.1.8.21:8002$1920x1080
北京卫视,http://222.71.11.180:4022/rtp/239.45.3.229:5140$1920x1080
北京卫视,http://tv.100inns.com:4022/rtp/239.45.3.229:5140$1920x1080
广东卫视,http://116.232.156.147:8888/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://101.83.74.79:8686/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://115.171.216.54:4000/rtp/225.1.8.49:8048$1920x1080
广东卫视,http://1.202.9.192:8888/rtp/225.1.8.49:8048$1920x1080
广东卫视,http://58.37.82.140:56789/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://58.37.91.48:4000/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://116.234.13.241:9898/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://222.71.11.180:4022/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://tv.100inns.com:4022/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://115.171.216.54:4000/rtp/225.1.8.151:8132$720x576
深圳卫视,http://116.232.156.147:8888/rtp/239.45.3.231:5140$1920x1080
深圳卫视,http://101.83.74.79:8686/rtp/239.45.3.231:5140$1920x1080
深圳卫视,http://115.171.216.54:4000/rtp/225.1.8.43:8020$1920x1080
深圳卫视,http://1.202.9.192:8888/rtp/225.1.8.43:8020$1920x1080
